dup1,dup2,type
Zm00001eb383980,Zm00001eb277390,SD
Zm00001eb182010,Zm00001eb082280,SD
Zm00001eb267350,Zm00001eb356080,SD
Zm00001eb228660,Zm00001eb002430,SD
Zm00001eb006560,Zm00001eb401540,SD
Zm00001eb073760,Zm00001eb428880,SD
Zm00001eb247890,Zm00001eb185340,SD
Zm00001eb221190,Zm00001eb045250,SD
Zm00001eb013860,Zm00001eb331460,SD
Zm00001eb431240,Zm00001eb070230,SD
Zm00001eb210450,Zm00001eb065080,SD
Zm00001eb102240,Zm00001eb317410,SD
Zm00001eb102240,Zm00001eb174880,SD
Zm00001eb371770,Zm00001eb280070,SD
Zm00001eb144600,Zm00001eb365670,SD
Zm00001eb252650,Zm00001eb188960,SD
Zm00001eb078140,Zm00001eb426000,SD
Zm00001eb101320,Zm00001eb033590,SD
Zm00001eb101320,Zm00001eb199140,SD
Zm00001eb356970,Zm00001eb160030,SD
Zm00001eb040920,Zm00001eb177060,SD
Zm00001eb433980,Zm00001eb065780,SD
Zm00001eb386920,Zm00001eb275200,SD
Zm00001eb099590,Zm00001eb312590,SD
Zm00001eb349830,Zm00001eb287640,SD
Zm00001eb399270,Zm00001eb009880,SD
Zm00001eb428530,Zm00001eb073370,SD
Zm00001eb033590,Zm00001eb199140,SD
Zm00001eb396030,Zm00001eb014850,SD
Zm00001eb188670,Zm00001eb252350,SD
Zm00001eb201030,Zm00001eb091560,SD
Zm00001eb063660,Zm00001eb211170,SD
Zm00001eb107220,Zm00001eb324710,SD
Zm00001eb227100,Zm00001eb232120,SD
Zm00001eb140560,Zm00001eb362650,SD
Zm00001eb361450,Zm00001eb155000,SD
Zm00001eb159160,Zm00001eb358910,SD
Zm00001eb233940,Zm00001eb206680,SD
Zm00001eb214800,Zm00001eb057490,SD
Zm00001eb316130,Zm00001eb199400,SD
Zm00001eb254410,Zm00001eb372210,SD
Zm00001eb216020,Zm00001eb055460,SD
Zm00001eb329590,Zm00001eb110650,SD
Zm00001eb398420,Zm00001eb011010,SD
Zm00001eb325270,Zm00001eb107510,SD
Zm00001eb333590,Zm00001eb127680,SD
Zm00001eb257250,Zm00001eb192800,SD
Zm00001eb361520,Zm00001eb154730,SD
Zm00001eb344140,Zm00001eb296410,SD
Zm00001eb313280,Zm00001eb099720,SD
Zm00001eb313280,Zm00001eb374480,SD
Zm00001eb099720,Zm00001eb374480,SD
Zm00001eb117210,Zm00001eb300680,SD
Zm00001eb280820,Zm00001eb380580,SD
Zm00001eb192780,Zm00001eb257270,SD
Zm00001eb199970,Zm00001eb035370,SD
Zm00001eb016560,Zm00001eb394870,SD
Zm00001eb016560,Zm00001eb111230,SD
Zm00001eb356140,Zm00001eb267430,SD
Zm00001eb394870,Zm00001eb111230,SD
Zm00001eb199400,Zm00001eb101560,SD
Zm00001eb135380,Zm00001eb030930,SD
Zm00001eb083200,Zm00001eb422350,SD
Zm00001eb334990,Zm00001eb125670,SD
Zm00001eb345240,Zm00001eb297320,SD
Zm00001eb364620,Zm00001eb143360,SD
Zm00001eb195450,Zm00001eb015970,SD
Zm00001eb195450,Zm00001eb111590,SD
Zm00001eb304560,Zm00001eb097100,SD
Zm00001eb304560,Zm00001eb063800,SD
Zm00001eb087920,Zm00001eb419670,SD
Zm00001eb097100,Zm00001eb063800,SD
Zm00001eb225970,Zm00001eb207890,SD
Zm00001eb362840,Zm00001eb140790,SD
Zm00001eb430440,Zm00001eb071550,SD
Zm00001eb207890,Zm00001eb273370,SD
Zm00001eb417870,Zm00001eb354430,SD
Zm00001eb275450,Zm00001eb387290,SD
Zm00001eb428910,Zm00001eb073810,SD
Zm00001eb095640,Zm00001eb307290,SD
Zm00001eb035840,Zm00001eb317200,SD
Zm00001eb293660,Zm00001eb153630,SD
Zm00001eb096900,Zm00001eb306030,SD
Zm00001eb205470,Zm00001eb240410,SD
Zm00001eb095350,Zm00001eb303110,SD
Zm00001eb095350,Zm00001eb061800,SD
Zm00001eb266250,Zm00001eb397390,SD
Zm00001eb212800,Zm00001eb116620,SD
Zm00001eb303110,Zm00001eb061800,SD
Zm00001eb283110,Zm00001eb122750,SD
Zm00001eb151630,Zm00001eb369950,SD
Zm00001eb072860,Zm00001eb187440,SD
Zm00001eb072860,Zm00001eb250930,SD
Zm00001eb293320,Zm00001eb361980,SD
Zm00001eb293320,Zm00001eb154140,SD
Zm00001eb000860,Zm00001eb404080,SD
Zm00001eb336020,Zm00001eb124060,SD
Zm00001eb273370,Zm00001eb232500,SD
Zm00001eb187440,Zm00001eb250930,SD
Zm00001eb361980,Zm00001eb154140,SD
Zm00001eb360990,Zm00001eb294600,SD
Zm00001eb397320,Zm00001eb012860,SD
Zm00001eb109780,Zm00001eb327990,SD
Zm00001eb102350,Zm00001eb175050,SD
Zm00001eb192910,Zm00001eb257190,SD
Zm00001eb413670,Zm00001eb430940,SD
Zm00001eb349780,Zm00001eb287690,SD
Zm00001eb195000,Zm00001eb404860,SD
Zm00001eb195000,Zm00001eb094220,SD
Zm00001eb016120,Zm00001eb111550,SD
Zm00001eb016120,Zm00001eb330660,SD
Zm00001eb016120,Zm00001eb195280,SD
Zm00001eb053540,Zm00001eb217110,SD
Zm00001eb402480,Zm00001eb002430,SD
Zm00001eb153630,Zm00001eb371190,SD
Zm00001eb104820,Zm00001eb320080,SD
Zm00001eb099710,Zm00001eb313250,SD
Zm00001eb331520,Zm00001eb013620,SD
Zm00001eb043680,Zm00001eb220360,SD
Zm00001eb343670,Zm00001eb295820,SD
Zm00001eb096920,Zm00001eb305980,SD
Zm00001eb021510,Zm00001eb001370,SD
Zm00001eb272820,Zm00001eb227030,SD
Zm00001eb272820,Zm00001eb232150,SD
Zm00001eb159550,Zm00001eb358450,SD
Zm00001eb384580,Zm00001eb239600,SD
Zm00001eb363270,Zm00001eb141690,SD
Zm00001eb402940,Zm00001eb003660,SD
Zm00001eb003150,Zm00001eb046130,SD
Zm00001eb405190,Zm00001eb196380,SD
Zm00001eb227030,Zm00001eb232150,SD
Zm00001eb139110,Zm00001eb407890,SD
Zm00001eb373500,Zm00001eb278890,SD
Zm00001eb167830,Zm00001eb112170,SD
Zm00001eb086360,Zm00001eb420410,SD
Zm00001eb138830,Zm00001eb091090,SD
Zm00001eb407890,Zm00001eb200890,SD
Zm00001eb072940,Zm00001eb428010,SD
Zm00001eb247150,Zm00001eb184650,SD
Zm00001eb204940,Zm00001eb238760,SD
Zm00001eb299510,Zm00001eb213770,SD
Zm00001eb299510,Zm00001eb059050,SD
Zm00001eb054660,Zm00001eb216510,SD
Zm00001eb281080,Zm00001eb380960,SD
Zm00001eb059050,Zm00001eb213770,SD
Zm00001eb392440,Zm00001eb327840,SD
Zm00001eb051470,Zm00001eb030420,SD
Zm00001eb070760,Zm00001eb430920,SD
Zm00001eb171780,Zm00001eb431470,SD
Zm00001eb359430,Zm00001eb158060,SD
Zm00001eb398680,Zm00001eb010560,SD
Zm00001eb020370,Zm00001eb393280,SD
Zm00001eb199600,Zm00001eb034200,SD
Zm00001eb154260,Zm00001eb361850,SD
Zm00001eb258510,Zm00001eb191660,SD
Zm00001eb022080,Zm00001eb393710,SD
Zm00001eb242050,Zm00001eb180790,SD
Zm00001eb242050,Zm00001eb421400,SD
Zm00001eb434040,Zm00001eb065750,SD
Zm00001eb421170,Zm00001eb085340,SD
Zm00001eb165880,Zm00001eb115510,SD
Zm00001eb033230,Zm00001eb133880,SD
Zm00001eb321450,Zm00001eb105000,SD
Zm00001eb391770,Zm00001eb022910,SD
Zm00001eb396450,Zm00001eb014160,SD
Zm00001eb295600,Zm00001eb343520,SD
Zm00001eb134240,Zm00001eb032940,SD
Zm00001eb291070,Zm00001eb149780,SD
Zm00001eb291070,Zm00001eb015720,SD
Zm00001eb396440,Zm00001eb014180,SD
Zm00001eb150100,Zm00001eb291270,SD
Zm00001eb115900,Zm00001eb165360,SD
Zm00001eb048660,Zm00001eb223490,SD
Zm00001eb176030,Zm00001eb039420,SD
Zm00001eb037120,Zm00001eb198220,SD
Zm00001eb394120,Zm00001eb018090,SD
Zm00001eb430580,Zm00001eb071300,SD
Zm00001eb430580,Zm00001eb170990,SD
Zm00001eb430580,Zm00001eb414040,SD
Zm00001eb364280,Zm00001eb143050,SD
Zm00001eb071300,Zm00001eb414040,SD
Zm00001eb353510,Zm00001eb293720,SD
Zm00001eb353510,Zm00001eb153560,SD
Zm00001eb353510,Zm00001eb371130,SD
Zm00001eb293720,Zm00001eb153560,SD
Zm00001eb293720,Zm00001eb371130,SD
Zm00001eb036140,Zm00001eb317490,SD
Zm00001eb256740,Zm00001eb278640,SD
Zm00001eb257400,Zm00001eb192720,SD
Zm00001eb257400,Zm00001eb313550,SD
Zm00001eb004500,Zm00001eb403280,SD
Zm00001eb334900,Zm00001eb125850,SD
Zm00001eb389830,Zm00001eb207090,SD
Zm00001eb351500,Zm00001eb289820,SD
Zm00001eb191290,Zm00001eb259050,SD
Zm00001eb220750,Zm00001eb044090,SD
Zm00001eb018010,Zm00001eb109990,SD
Zm00001eb018010,Zm00001eb328720,SD
Zm00001eb050340,Zm00001eb218630,SD
Zm00001eb050340,Zm00001eb031970,SD
Zm00001eb313960,Zm00001eb040550,SD
Zm00001eb286080,Zm00001eb130190,SD
Zm00001eb055280,Zm00001eb216090,SD
Zm00001eb280130,Zm00001eb253990,SD
Zm00001eb031970,Zm00001eb218630,SD
Zm00001eb180790,Zm00001eb421400,SD
Zm00001eb085420,Zm00001eb421120,SD
Zm00001eb085420,Zm00001eb143060,SD
Zm00001eb208110,Zm00001eb227090,SD
Zm00001eb121480,Zm00001eb337210,SD
Zm00001eb214520,Zm00001eb057910,SD
Zm00001eb035700,Zm00001eb174630,SD
Zm00001eb256570,Zm00001eb373600,SD
Zm00001eb089490,Zm00001eb418840,SD
Zm00001eb331350,Zm00001eb111810,SD
Zm00001eb414040,Zm00001eb170990,SD
Zm00001eb350390,Zm00001eb284300,SD
Zm00001eb402710,Zm00001eb002960,SD
Zm00001eb361260,Zm00001eb155160,SD
Zm00001eb201810,Zm00001eb113970,SD
Zm00001eb119830,Zm00001eb338670,SD
Zm00001eb180670,Zm00001eb242260,SD
Zm00001eb333690,Zm00001eb127570,SD
Zm00001eb354250,Zm00001eb418070,SD
Zm00001eb362860,Zm00001eb140890,SD
Zm00001eb374480,Zm00001eb278310,SD
Zm00001eb151510,Zm00001eb369900,SD
Zm00001eb332530,Zm00001eb129320,SD
Zm00001eb391030,Zm00001eb023800,SD
Zm00001eb098460,Zm00001eb310520,SD
Zm00001eb098460,Zm00001eb042090,SD
Zm00001eb310520,Zm00001eb042090,SD
Zm00001eb216140,Zm00001eb055080,SD
Zm00001eb079340,Zm00001eb425120,SD
Zm00001eb099810,Zm00001eb313550,SD
Zm00001eb020330,Zm00001eb393250,SD
Zm00001eb327340,Zm00001eb109040,SD
Zm00001eb387040,Zm00001eb275240,SD
Zm00001eb387040,Zm00001eb234400,SD
Zm00001eb260480,Zm00001eb174090,SD
Zm00001eb089800,Zm00001eb419110,SD
Zm00001eb190410,Zm00001eb253970,SD
Zm00001eb091060,Zm00001eb201410,SD
Zm00001eb275240,Zm00001eb234400,SD
Zm00001eb364820,Zm00001eb143480,SD
Zm00001eb403310,Zm00001eb004540,SD
Zm00001eb238660,Zm00001eb204570,SD
Zm00001eb016040,Zm00001eb290670,SD
Zm00001eb063390,Zm00001eb211350,SD
Zm00001eb396900,Zm00001eb013600,SD
Zm00001eb383680,Zm00001eb204600,SD
Zm00001eb383680,Zm00001eb238670,SD
Zm00001eb144810,Zm00001eb365740,SD
Zm00001eb045810,Zm00001eb221820,SD
Zm00001eb324300,Zm00001eb106940,SD
Zm00001eb276980,Zm00001eb385810,SD
Zm00001eb250070,Zm00001eb186970,SD
Zm00001eb250070,Zm00001eb074090,SD
Zm00001eb250070,Zm00001eb429250,SD
Zm00001eb274910,Zm00001eb389570,SD
Zm00001eb153560,Zm00001eb371130,SD
Zm00001eb413150,Zm00001eb171710,SD
Zm00001eb330690,Zm00001eb111570,SD
Zm00001eb055210,Zm00001eb216120,SD
Zm00001eb042110,Zm00001eb178670,SD
Zm00001eb042110,Zm00001eb310770,SD
Zm00001eb106360,Zm00001eb323250,SD
Zm00001eb358200,Zm00001eb162090,SD
Zm00001eb238670,Zm00001eb204600,SD
Zm00001eb353280,Zm00001eb293110,SD
Zm00001eb353280,Zm00001eb153280,SD
Zm00001eb186970,Zm00001eb074090,SD
Zm00001eb186970,Zm00001eb429250,SD
Zm00001eb017330,Zm00001eb394440,SD
Zm00001eb059900,Zm00001eb300000,SD
Zm00001eb178670,Zm00001eb310770,SD
Zm00001eb302400,Zm00001eb116500,SD
Zm00001eb207950,Zm00001eb232450,SD
Zm00001eb275100,Zm00001eb386740,SD
Zm00001eb281010,Zm00001eb380900,SD
Zm00001eb006320,Zm00001eb327640,SD
Zm00001eb173050,Zm00001eb416780,SD
Zm00001eb067750,Zm00001eb432500,SD
Zm00001eb365680,Zm00001eb144610,SD
Zm00001eb000690,Zm00001eb404260,SD
Zm00001eb224910,Zm00001eb024900,SD
Zm00001eb293110,Zm00001eb370990,SD
Zm00001eb419050,Zm00001eb089720,SD
Zm00001eb160480,Zm00001eb357020,SD
Zm00001eb172230,Zm00001eb415630,SD
Zm00001eb149530,Zm00001eb290670,SD
Zm00001eb242420,Zm00001eb084420,SD
Zm00001eb149670,Zm00001eb290880,SD
Zm00001eb430400,Zm00001eb071670,SD
Zm00001eb310870,Zm00001eb042130,SD
Zm00001eb433020,Zm00001eb067270,SD
Zm00001eb425660,Zm00001eb078590,SD
Zm00001eb077920,Zm00001eb247160,SD
Zm00001eb077920,Zm00001eb426200,SD
Zm00001eb319410,Zm00001eb103350,SD
Zm00001eb154010,Zm00001eb293430,SD
Zm00001eb413780,Zm00001eb171140,SD
Zm00001eb413780,Zm00001eb430800,SD
Zm00001eb429250,Zm00001eb074090,SD
Zm00001eb137140,Zm00001eb410080,SD
Zm00001eb251910,Zm00001eb071720,SD
Zm00001eb251910,Zm00001eb430360,SD
Zm00001eb317490,Zm00001eb102280,SD
Zm00001eb248450,Zm00001eb185700,SD
Zm00001eb288850,Zm00001eb146890,SD
Zm00001eb427560,Zm00001eb075380,SD
Zm00001eb427560,Zm00001eb186130,SD
Zm00001eb058570,Zm00001eb214090,SD
Zm00001eb258860,Zm00001eb191440,SD
Zm00001eb296680,Zm00001eb344430,SD
Zm00001eb127130,Zm00001eb334080,SD
Zm00001eb169050,Zm00001eb112550,SD
Zm00001eb329230,Zm00001eb110380,SD
Zm00001eb056470,Zm00001eb215300,SD
Zm00001eb339390,Zm00001eb118950,SD
Zm00001eb303780,Zm00001eb095010,SD
Zm00001eb252410,Zm00001eb188700,SD
Zm00001eb343270,Zm00001eb156820,SD
Zm00001eb209370,Zm00001eb230060,SD
Zm00001eb396410,Zm00001eb014240,SD
Zm00001eb320100,Zm00001eb104810,SD
Zm00001eb240380,Zm00001eb205430,SD
Zm00001eb023660,Zm00001eb390940,SD
Zm00001eb421360,Zm00001eb084890,SD
Zm00001eb106100,Zm00001eb322820,SD
Zm00001eb066150,Zm00001eb433770,SD
Zm00001eb066150,Zm00001eb044790,SD
Zm00001eb081610,Zm00001eb423430,SD
Zm00001eb007610,Zm00001eb400670,SD
Zm00001eb097580,Zm00001eb309070,SD
Zm00001eb063970,Zm00001eb211040,SD
Zm00001eb008780,Zm00001eb400090,SD
Zm00001eb071720,Zm00001eb430360,SD
Zm00001eb273840,Zm00001eb224680,SD
Zm00001eb273840,Zm00001eb207450,SD
Zm00001eb104210,Zm00001eb321050,SD
Zm00001eb010990,Zm00001eb398450,SD
Zm00001eb370990,Zm00001eb153270,SD
Zm00001eb126740,Zm00001eb334240,SD
Zm00001eb014730,Zm00001eb396070,SD
Zm00001eb171140,Zm00001eb430800,SD
Zm00001eb270080,Zm00001eb377830,SD
Zm00001eb125230,Zm00001eb335340,SD
Zm00001eb176470,Zm00001eb037860,SD
Zm00001eb201360,Zm00001eb408270,SD
Zm00001eb163930,Zm00001eb195280,SD
Zm00001eb095370,Zm00001eb303060,SD
Zm00001eb131230,Zm00001eb340940,SD
Zm00001eb131230,Zm00001eb282620,SD
Zm00001eb403550,Zm00001eb002030,SD
Zm00001eb040050,Zm00001eb202800,SD
Zm00001eb040050,Zm00001eb103810,SD
Zm00001eb040050,Zm00001eb331960,SD
Zm00001eb314780,Zm00001eb256010,SD
Zm00001eb149830,Zm00001eb369080,SD
Zm00001eb177300,Zm00001eb040360,SD
Zm00001eb055620,Zm00001eb215910,SD
Zm00001eb104480,Zm00001eb320610,SD
Zm00001eb388330,Zm00001eb206010,SD
Zm00001eb128780,Zm00001eb332830,SD
Zm00001eb012100,Zm00001eb397830,SD
Zm00001eb047500,Zm00001eb004370,SD
Zm00001eb323710,Zm00001eb106670,SD
Zm00001eb432990,Zm00001eb067350,SD
Zm00001eb193330,Zm00001eb256420,SD
Zm00001eb193330,Zm00001eb278870,SD
Zm00001eb193330,Zm00001eb373520,SD
Zm00001eb022940,Zm00001eb391740,SD
Zm00001eb352150,Zm00001eb291010,SD
Zm00001eb352150,Zm00001eb369010,SD
Zm00001eb191700,Zm00001eb258470,SD
Zm00001eb211190,Zm00001eb063650,SD
Zm00001eb394540,Zm00001eb017130,SD
Zm00001eb330660,Zm00001eb111550,SD
Zm00001eb357900,Zm00001eb161690,SD
Zm00001eb341260,Zm00001eb131620,SD
Zm00001eb031700,Zm00001eb136130,SD
Zm00001eb391740,Zm00001eb074270,SD
Zm00001eb186910,Zm00001eb249950,SD
Zm00001eb092180,Zm00001eb202130,SD
Zm00001eb092180,Zm00001eb407240,SD
Zm00001eb092180,Zm00001eb139520,SD
Zm00001eb397920,Zm00001eb011960,SD
Zm00001eb131620,Zm00001eb410380,SD
Zm00001eb211870,Zm00001eb062490,SD
Zm00001eb208050,Zm00001eb232220,SD
Zm00001eb103510,Zm00001eb319680,SD
Zm00001eb076490,Zm00001eb434450,SD
Zm00001eb042420,Zm00001eb179020,SD
Zm00001eb265410,Zm00001eb355110,SD
Zm00001eb200590,Zm00001eb114430,SD
Zm00001eb256260,Zm00001eb193390,SD
Zm00001eb044640,Zm00001eb220930,SD
Zm00001eb362080,Zm00001eb139650,SD
Zm00001eb139520,Zm00001eb202130,SD
Zm00001eb116280,Zm00001eb302810,SD
Zm00001eb395240,Zm00001eb015930,SD
Zm00001eb216870,Zm00001eb054040,SD
Zm00001eb072270,Zm00001eb429930,SD
Zm00001eb359320,Zm00001eb158420,SD
Zm00001eb403560,Zm00001eb002020,SD
Zm00001eb137290,Zm00001eb410220,SD
Zm00001eb351580,Zm00001eb368190,SD
Zm00001eb351580,Zm00001eb148740,SD
Zm00001eb306260,Zm00001eb096720,SD
Zm00001eb337350,Zm00001eb121110,SD
Zm00001eb337350,Zm00001eb121680,SD
Zm00001eb349090,Zm00001eb145560,SD
Zm00001eb129860,Zm00001eb332190,SD
Zm00001eb101780,Zm00001eb316530,SD
Zm00001eb186130,Zm00001eb075380,SD
Zm00001eb243020,Zm00001eb422090,SD
Zm00001eb243020,Zm00001eb083570,SD
Zm00001eb243360,Zm00001eb181860,SD
Zm00001eb243360,Zm00001eb082760,SD
Zm00001eb151300,Zm00001eb369770,SD
Zm00001eb151300,Zm00001eb352780,SD
Zm00001eb373110,Zm00001eb279190,SD
Zm00001eb369010,Zm00001eb291010,SD
Zm00001eb315780,Zm00001eb033550,SD
Zm00001eb234620,Zm00001eb206430,SD
Zm00001eb378670,Zm00001eb269340,SD
Zm00001eb197990,Zm00001eb113470,SD
Zm00001eb379420,Zm00001eb268580,SD
Zm00001eb355970,Zm00001eb266980,SD
Zm00001eb136540,Zm00001eb029010,SD
Zm00001eb425310,Zm00001eb079010,SD
Zm00001eb260470,Zm00001eb174100,SD
Zm00001eb030390,Zm00001eb134970,SD
Zm00001eb040860,Zm00001eb177100,SD
Zm00001eb017310,Zm00001eb329690,SD
Zm00001eb017310,Zm00001eb110720,SD
Zm00001eb013000,Zm00001eb397250,SD
Zm00001eb013000,Zm00001eb148790,SD
Zm00001eb069410,Zm00001eb431620,SD
Zm00001eb398340,Zm00001eb011160,SD
Zm00001eb370130,Zm00001eb152020,SD
Zm00001eb044760,Zm00001eb221160,SD
Zm00001eb387310,Zm00001eb275460,SD
Zm00001eb271590,Zm00001eb375520,SD
Zm00001eb333220,Zm00001eb128190,SD
Zm00001eb092100,Zm00001eb407390,SD
Zm00001eb373560,Zm00001eb193280,SD
Zm00001eb373560,Zm00001eb256510,SD
Zm00001eb397250,Zm00001eb148790,SD
Zm00001eb042370,Zm00001eb098910,SD
Zm00001eb227820,Zm00001eb272470,SD
Zm00001eb016330,Zm00001eb395000,SD
Zm00001eb016660,Zm00001eb394820,SD
Zm00001eb031250,Zm00001eb135700,SD
Zm00001eb422090,Zm00001eb083570,SD
